Remesas,Consumo,V.Consumo,Inversion,V.Inversion,Tasa.Cambio,INPC,Rezago.Rem,TIIE28
287.3645,59.47662265,-1.171124372,47.67762038,-36.51713847,6.7019,16.973617,248.0605,89.48
298.9135,56.41424136,-6.859709033,41.85884264,-41.81670166,6.2996,18.326133,287.3645,85.22
357.7396,58.01572998,-5.303361666,39.84994446,-40.4758834,5.9627,19.09209,298.9135,60.45
352.3695,58.55189605,-5.868786528,40.21522299,-41.92360948,6.2232,19.698024,357.7396,49.5
342.8993,57.47545221,-6.414253399,41.08210395,-40.30719019,6.1394,20.099588,352.3695,43
362.2739,58.61983838,-5.770031642,44.66081624,-40.74527805,6.1909,20.432981,342.8993,37.6
314.1492,57.0033024,-6.674502388,45.63945226,-38.30388628,6.3025,20.855643,362.2739,35.48
324.5033,58.80133627,-6.804247973,45.67699,-36.67315107,6.6911,21.284762,314.1492,42.61
255.5922,59.63348174,-7.60562725,47.46323215,-33.33422936,7.6584,21.809608,324.5033,57.43
274.2883,62.35324044,-5.223135073,51.48454275,-25.26289746,7.6597,22.520167,255.5922,51.36
313.5091,59.27435078,-4.798866303,51.95444988,-7.720437131,7.476,23.329754,274.2883,42.66
281.9257,57.36527272,0.962964462,49.43396684,8.309408988,7.524,23.874262,313.5091,40.11
337.3185,60.44464002,2.109871151,50.54439299,6.012826538,7.5687,24.399826,281.9257,42.93
393.3877,58.63623684,1.62755941,48.40212704,15.63178527,7.4617,25.09345,337.3185,36.61
413.542,60.74893925,3.938713751,49.4838403,24.17543104,7.4326,25.550842,393.3877,30.31
365.2451,59.75922654,4.711152082,51.25455197,27.45062234,7.5604,25.966902,413.542,30.11
373.6705,61.42707952,2.061983597,54.67160448,33.07888161,7.6206,26.336031,365.2451,33.49
386.0666,60.92279196,6.875330516,58.10438627,30.10148751,7.5115,26.686072,373.6705,29.36
339.2533,59.51604337,3.928624921,58.56650155,28.32428667,7.544,27.112751,386.0666,26.82
348.901,63.73595376,4.408062113,59.94947186,31.24654637,7.7263,27.451168,339.2533,28.68
315.6016,63.9178757,8.392015905,58.33874953,22.91356251,7.906,27.867083,348.901,32.28
